faculty_id,name,institution_id,google_scholar_id
phetmisy_cassandra,Cassandra Phetmisy,umd,wCqCJlgAAAAJ
yang_zhixu,Zhixu (Rick) Yang,baruch,0v2kCQEAAAAJ
kowalski_robin,Robin Kowalski,clemson,IroDjIkAAAAJ
pury_cynthia,Cynthia Pury,clemson,jstExUUAAAAJ
raymark_patrick,Patrick Raymark,clemson,DUaGhN8AAAAJ
shuffler_marissa,Marissa Shuffler,clemson,Pv6vHP8AAAAJ
traylor_allison,Allison Traylor,clemson,9FhHossAAAAJ
chang_yingyi,Yingyi Chang,wayne,3FuemZsAAAAJ
kreamer_liana,Liana Kreamer,fit,VjT01dEAAAAJ
yavorsky_jill,Jill Yavorsky,uncc,3qAsZVAAAAAJ
kronberg_annekathrin,Anne-Kathrin Kronberg,uncc,IyB0NnsAAAAJ
scott_cliff,Cliff Scott,uncc,icbUKFkAAAAJ
kung_franki,Franki Y. H. Kung,purdue,sw-zZF0AAAAJ
harriswatson_alex,Alexandra Harris-Watson,purdue,VaqrGQoAAAAJ
macnamara_brooke,Brooke N. Macnamara,purdue,dKPihKcAAAAJ
silver_elisabeth,Elisabeth Silver,msu,JrigXcIAAAAJ
baker_nathan,Nathan Baker,wright,TnosyFsAAAAJ
mccord_mallory,Mallory A. McCord,wright,c2TKbj0AAAAJ
rudolph_cort,Cort W. Rudolph,wayne,Z9W6egsAAAAJ
reed_brent,Brent Reed,uncc,9kHbKL8AAAAJ
walker_lisa,Lisa Slattery Walker,uncc,_DnBkXMAAAAJ
woehr_david,David J. Woehr,uncc,vdt4FQsAAAAJ
strah_nicole,Nicole Strah,uncc,ZXDkcLwAAAAJ
allen_shalene,Shalene Allen,ksu,jnj5k-QAAAAJ
lee_jin,Jin Lee,ksu,aWmsLwoAAAAJ
tu_naidan,Naidan Tu,ksu,OsxbqScAAAAJ
magley_vicki,Vicki Magley,uconn,2T1ZakYAAAAJ
henning_robert,Robert Henning,uconn,
zhang_don,Don Zhang,lsu,GTukwAEAAAAJ
burke_vanessa,Vanessa Burke,lsu,XaLQFUMAAAAJ
cobb_haley,Haley Cobb,lsu,IWPXrZUAAAAJ
probst_tahira,Tahira M. Probst,wsu,te6Pf2UAAAAJ
